fac_no,fac_name,beg_date,end_date,day_per,data_ind,audit_ind,county,hsa,hfpa,type_cntrl,type_care,type_hosp,teach_rurl,phone,address,city,zip_code,ceo,ceo_title,web_site,owner,rpt_prep,org_name,er_desig,mcar_pro,mcal_pro,reg_mcal,bed_lic,bed_avl,bed_stf,day_mcar_tr,day_mcar_mc,day_mcal_tr,day_mcal_mc,day_cnty,day_thrd_tr,day_thrd_mc,day_oth_ind,day_oth,day_tot,dis_mcar_tr,dis_mcar_mc,dis_mcal_tr,dis_mcal_mc,dis_cnty,dis_thrd_tr,dis_thrd_mc,dis_oth_ind,dis_oth,dis_tot,bed_acute,bed_psych,bed_chem,bed_rehab,bed_ltc,bed_resdnt,day_acute,day_psych,day_chem,day_rehab,day_ltc,day_resdnt,dis_acute,dis_psych,dis_chem,dis_rehab,dis_ltc,dis_resdnt,occ_lic,occ_avl,alos_all,alos_exltc,bas_nursry,day_nursry,dis_nursry,vis_mcar_tr,vis_mcar_mc,vis_mcal_tr,vis_mcal_mc,vis_cnty,vis_thrd_tr,vis_thrd_mc,vis_oth_ind,vis_oth,vis_tot,vis_er,vis_clin,vis_home,vis_ref_op,days_pips,op_room,op_min_ip,op_min_op,surg_ip,surg_op,nat_births,c_sections,gr_pt_rev,ded_fr_rev,tot_cap_rev,net_pt_rev,oth_op_rev,tot_op_exp,net_frm_op,nonop_rev,nonop_exp,inc_tax,ext_item,net_income,gr_rev_dly,gr_rev_amb,gr_rev_anc,gr_ip_mcar_tr,gr_ip_mcar_mc,gr_ip_mcal_tr,gr_ip_mcal_mc,gr_ip_cnty,gr_ip_thrd_tr,gr_ip_thrd_mc,gr_ip_oth_ind,gr_ip_oth,gr_ip_tot,gr_op_mcar_tr,gr_op_mcar_mc,gr_op_mcal_tr,gr_op_mcal_mc,gr_op_cnty,gr_op_thrd_tr,gr_op_thrd_mc,gr_op_oth_ind,gr_op_oth,gr_op_tot,c_adj_mcar_tr,c_adj_mcar_mc,c_adj_mcal_tr,c_adj_mcal_mc,disp_855,c_adj_cnty,c_adj_thrd_tr,c_adj_thrd_mc,bad_debt,char_hb,char_oth,sub_indgnt,ded_oth,cap_rev_mcar,cap_rev_mcal,cap_rev_cnty,cap_rev_thrd,netrv_mcar_tr,netrv_mcar_mc,netrv_mcal_tr,netrv_mcal_mc,netrv_cnty,netrv_thrd_tr,netrv_thrd_mc,netrv_oth_ind,netrv_oth,disp_trnfr,inter_tfr,contribtns,inc_invest,dist_rev,cnty_appro,exp_dly,exp_amb,exp_anc,exp_pip,exp_pop,exp_res,exp_ed,exp_gen,exp_fisc,exp_adm,exp_unassg,exp_sal,exp_ben,exp_phys,exp_othpro,exp_supp,exp_purch,exp_depre,exp_leases,exp_insur,exp_intrst,exp_oth,cur_asst,asst_limtd,net_ppe,const_prog,inv_oth,intan_asst,tot_asst,curr_liab,def_cred,net_ltdebt,equity,liab_eq,cash,accts_rec,allow_uncoll,bldgs,equipment,tot_ppe,acc_depre,mort_pay,cap_lease,bond_pay,tot_ltdebt,cur_mat,inter_rec,inter_pay,hosp_fte,nurs_fte,prod_hrs,non_prd_hr,paid_hrs,med_staff,stdnt_fte,prd_hr_mgt,prd_hr_tch,prd_hr_rn,prd_hr_lvn,prd_hr_aid,prd_hr_clr,prd_hr_env,prd_hr_oth,cnt_hr_rn,cnt_hr_oth,prd_hr_dly,prd_hr_amb,prd_hr_anc,prd_hr_ed,prd_hr_gen,prd_hr_fis,prd_hr_adm,prd_hr_non,pd_hr_dly,pd_hr_amb,pd_hr_anc,pd_hr_ed,pd_hr_gen,pd_hr_fis,pd_hr_adm,pd_hr_non,year
106431013,agnews state hospital,01jul2007,30jun2008,366,audited,incl. ind. audit adj.,santa clara,7,431,state,psychiatric,state,,(408) 451-6000,3500 sanker road,san jose,95134-2299,angela c. verbanac-libby,executive director,,state of california,gale nagato,dds fiscal systems section,0,,,,919,919,304,22,0,68212,0,0,44,0,0,1094,69372,0,0,96,0,0,0,0,0,1,97,24,0,0,0,895,0,204,0,0,0,69168,0,0,0,0,0,97,0,20.6,20.6,715.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95034482,406471,0,94628011,0,95034482,-406471,406471,0,0,0,0,85970739,0,9063743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69342,0,300000,0,0,0,0,0,0,0,0,0,24685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
106301098,ahmc anaheim regional medical center,01jul2007,30jun2008,366,audited,incl. ind. audit adj.,orange,13,1012,non-profit,general,comparable,,(714) 774-1450,111 west la palma avenue,anaheim,92801-2881,byron schweigert,interim pres./ceo,www.memorialcare.org,memorial health services,donna j. anglin,memorial health services,0,05-0226,hsc30226f,zzt30226f,223,223,171,18420,13864,1991,3875,2164,1762,14651,304,2453,59484,3311,3705,551,981,482,165,4632,68,680,14575,223,0,0,0,0,0,59484,0,0,0,0,0,14575,0,0,0,0,0,72.90000000000001,72.90000000000001,4.1,4.1,10,3190,1744,10821,9571,3969,10028,2454,757,30643,201,6979,75423,43597,374,0,37272,7001,6,248554,160549,3104,3553,1622,437,851974779,680743645,14239666,185470800,436459,184267435,1639824,2465389,688671,0,0,3416542,146647471,44473065,660854243,179251258,154144831,16601413,39012080,18106394,17065070,169558898,2001569,22299905,618041418,34436332,38297909,7056129,23258236,7150874,2729910,103932773,594329,16476869,233933361,171241150,157488369,18681883,53458729,0,23368364,15218566,203836363,28827990,0,5114032,-145770,3653969,14239666,0,0,0,42446440,49194037,3449805,7553449,1749621,4576414,69655308,99395,6746331,0,0,0,166548,0,0,39993946,7289019,70693350,5399003,2787830,12445,0,26808790,8373834,19489054,3420164,56829404,16847391,2058190,18867685,35941140,39417792,7476444,2704369,310513,0,3814507,35500066,0,35133265,0,0,0,70633331,48382684,9037768,0,13212879,70633331,111956,159732710,-130734841,62518755,61278722,130074972,94941707,0,0,0,0,0,35307,19377337,890,390,2046994,158129,2205123,211,0,95764,262992,532713,11855,25364,424783,0,344943,244143,104437,800913,121823,633677,0,154432,105724,230425,0,854473,129377,691557,0,170247,114537,244932,0,2008
106010846,alameda county medical center,01jul2007,30jun2008,366,audited,incl. ind. audit adj.,alameda,5,417,city/county,general,comparable,teaching,(510) 437-4800,1411 east 31st street,oakland,94602,"wright lassiter, iii",ceo,www.acmedctr.org,county of alameda,stanley quan,"toyon associates, inc.",2,05-0320,hsc00320w,zzr00320w,475,475,331,15371,216,56318,6205,9540,2863,0,18919,8501,117933,2034,30,5035,1141,1823,460,0,1771,1021,13315,236,80,0,50,109,0,46524,24417,0,9796,37196,0,10175,2620,0,420,100,0,67.8,67.8,8.9,6.1,20,2581,1181,43815,1282,93502,28377,107704,13392,0,21155,32895,342122,89437,136933,0,136933,390,7,328802,85937,3393,1003,1190,318,765689502,384368556,0,381320946,103529012,447908680,36941278,25686320,189836,0,0,62437762,338622114,157035998,270031390,79645831,2360342,204299450,38466944,62975412,24621012,0,70687166,39717511,522773668,29233716,904488,59667103,19369021,80482642,11345625,0,13631755,28281484,242915834,61674980,1906681,168602389,53161130,-126930336,69515827,4442608,0,32344402,0,26741828,0,92909047,0,0,0,0,47204567,1358149,222294500,4674835,73942227,31524029,0,0,322639,35982000,-5809103,0,19911936,0,5774384,99564618,62014745,85730291,4078497,0,0,28646126,74222210,20596422,56602821,16452950,196837944,82349453,43126378,19388970,39149801,35181592,9530599,2219995,4162143,7775302,8186503,144564248,0,35151110,1220881,0,0,180936239,269299708,0,7576059,-95939528,180936239,30638406,205465295,-167306364,36190804,51473105,93086800,57935690,8344730,0,0,8344730,768671,7944521,158749263,2342,857,4479258,701976,5181234,513,102,271915,940526,1050875,144809,301221,701994,334770,435966,290634,6548,1345275,787565,556827,306133,782197,317271,383990,0,1517455,912295,656948,325017,919657,383043,466819,0,2008
106010735,alameda hospital,01jul2007,30jun2008,366,audited,incl. ind. audit adj.,alameda,5,417,district,general,comparable,,(510) 522-3700,2070 clinton avenue,alameda,94501-4397,deborah e. stebbins,ceo,www.alamedahospital.org,city of alameda healthcare district,carlos jimenez,pacific hospital management,0,05-0211,hsc00211f,zzr00211f,135,135,135,8242,1067,7775,409,0,592,3884,76,642,22687,1652,208,217,97,0,146,515,15,119,2969,100,0,0,0,35,0,11276,0,0,0,11411,0,2885,0,0,0,84,0,45.9,45.9,7.6,3.9,0,0,0,11759,2344,2026,3152,0,3672,22893,304,2589,48739,17922,0,0,30943,0,3,117702,224487,702,4558,0,0,250222764,193985757,0,56237007,149266,65080057,-8693784,6343335,0,0,0,-2350449,63434568,17799166,168989030,62529597,8305659,27952321,3195022,0,5296052,28938154,521327,4439754,141177886,22712355,4186175,3308822,4573381,0,5605201,64833907,401950,3423087,109044878,67328026,9799442,21604975,5370088,0,0,8578594,73792651,6353521,0,923277,0,235183,0,0,0,0,17913926,2692392,9656168,2398315,0,2322659,19979410,0,1274137,0,0,0,122247,5745308,0,15344045,4279258,22101796,0,0,0,0,10120981,3027792,8528593,1677592,26781879,9969981,2031765,1982948,7760003,3653511,1787352,581199,618941,209690,9702788,21198774,602817,7750478,38526,0,0,29590595,21567456,0,80992,7942147,29590595,4690518,39391622,-31447100,23646900,18100350,43116414,35365936,0,2825862,0,2825862,2744870,0,0,422,128,703560,177330,880890,267,0,72019,159302,178115,15145,74517,132325,68029,4108,0,0,207757,39998,178604,0,143055,53390,80756,0,256331,51496,233761,0,171105,61927,106270,0,2008
106190017,alhambra hospital,01jul2007,30jun2008,366,audited,incl. ind. audit adj.,los angeles,11,913,investor,general,comparable,,(626) 570-1606,100 south raymond avenue,alhambra,91802,iris lai,ceo,www.alhambrahospital.com,alhambra hospital medical center lp,linda marsh,ahmc healthcare inc.,0,05-0281,hsc30281f,,144,144,144,16570,1928,12616,780,0,135,1343,1179,334,34885,2399,463,761,182,0,30,376,46,74,4331,101,0,0,17,26,0,22205,0,0,3415,9265,0,4118,0,0,199,14,0,66.2,66.2,8.1,5.9,0,0,0,4499,1669,1460,2136,0,317,3871,754,5834,20540,19325,0,0,4873,0,5,36321,59798,676,1638,0,0,216250277,160756361,3614200,59108116,1586210,58770816,1923510,127975,0,0,0,2051485,63111950,7884581,145253746,88585863,11735972,55513569,4189122,0,749720,8647268,1271247,1391817,172084578,15360879,4479431,5370914,3532397,0,1605298,10427530,394627,2994623,44165699,66979176,13526248,51893337,6674852,0,0,410449,12668597,3691947,0,1665874,0,3245881,3614200,0,0,0,36967566,5497746,8991146,1046667,0,1639065,3652906,0,1313020,0,1072278,0,74476,0,0,16693239,2430903,16466472,0,0,0,0,8239029,1754115,9952856,3234202,22949836,6918604,845439,4138864,7875534,9070208,1466406,2817261,470391,47594,2170679,14846898,0,0,0,13359396,725032,28931326,13412058,0,0,15519268,28931326,5636674,28959094,-23926025,0,0,0,0,0,0,0,0,0,0,0,451,205,894849,80180,975029,194,0,46850,191424,231612,57334,103002,197404,32554,0,34647,22,405373,36102,165638,0,126595,63605,97536,0,440652,38715,178074,0,137476,71064,109048,0,2008
106010739,alta bates summit med ctr-alta bates campus,01jan2008,31dec2008,366,audited,incl. ind. audit adj.,alameda,5,415,non-profit,general,comparable,,(510) 204-4444,2450 ashby avenue,berkeley,94705,robert petrina,cfo,www.altabates.com,sutter health,bharatha naotunne,alta bates summit medical center,0,05-0305,hsc00305f,zzr00305f,527,510,383,33650,8852,46411,8956,0,460,38732,907,2476,140444,4767,1200,4985,2470,0,104,7665,151,597,21939,347,105,0,42,33,0,95885,21841,0,11716,11002,0,18527,2736,0,663,13,0,72.8,75.2,6.4,5.9,35,15655,6838,43661,6660,10897,5560,0,4827,168021,1464,10782,251872,43935,32144,0,45471,0,13,425340,315360,3475,4514,5636,2145,2091290015,1522587411,0,568702604,5192786,517450773,56444617,15506021,4221878,0,0,67728760,823759904,86795730,1180734381,398003652,109917367,470976379,116608867,0,7607082,466905624,15505110,30164542,1615688623,117894063,36196406,35317245,22060143,0,5782172,233562130,3950250,20838983,475601392,414320395,122369677,422568483,120209380,0,0,7003384,372543219,17375527,0,19455360,0,26741986,0,0,0,0,101577320,23744096,83725141,18459630,0,6385870,327924535,0,6886012,0,0,2760106,10040953,0,0,129157524,18288043,203056398,0,0,147920,0,67168814,7968714,70024975,21638385,186025126,89994396,16737612,23023079,48859787,111739764,17608675,1220269,4852506,5736220,11653339,115629801,0,110462398,26963250,19256188,1964898,274276535,74610947,1022350,104782754,93860484,274276535,2395816,350868498,-265698817,219415933,151899272,386767675,276305277,0,51830,107855924,107907754,3125000,7501489,0,2177,851,3994402,818871,4813273,740,0,219119,923338,1285664,118519,165080,641228,363217,5212,205966,67059,1546636,190629,1050101,5332,707452,141508,352744,0,1914188,219234,1231700,6864,827007,165854,448426,0,2008
106010937,alta bates summit med ctr-summit campus-hawthorne,01jan2008,31dec2008,366,audited,incl. ind. audit adj.,alameda,5,417,non-profit,general,comparable,,(510) 655-4000,350 hawthorne ave,oakland,94609,warren kirk,ceo,www.altabatessummit.org,sutter health,daniel foushee,"toyon associates, inc.",0,05-0043,hsc00043f,,402,402,235,37278,10387,13691,2705,0,1356,17437,1783,198,84835,6400,1799,2546,525,0,222,3151,362,27,15032,354,0,0,0,48,0,75316,0,0,0,9519,0,14317,0,0,0,715,0,57.7,57.7,5.6,5.3,0,0,0,47561,12152,17574,9319,0,4074,43414,2858,2796,139748,39471,7821,0,93233,0,37,828570,613515,4352,6818,0,0,1792424749,1415206048,0,377218701,45561520,407054498,15725723,10796959,4786396,0,0,21736286,483505214,86418809,1222500726,515939190,145567069,185608593,42518855,0,26787980,446253508,27261986,2214471,1392151652,122383299,31505147,38621959,30576434,0,14278413,147595346,4018805,11293694,400273097,413328748,114658401,189600816,61806593,0,0,37587896,543547358,8450167,0,36955176,0,9270893,0,0,0,0,222821338,62413815,28955351,11288696,0,3478497,48261004,0,0,0,3334511,2068397,1419691,0,0,95220590,20214118,129799366,0,0,0,38873608,53266710,10992924,40744147,17943035,141646770,78320863,7671280,25163260,68774248,41036203,17717247,2944443,3387584,4088806,16303794,127664917,4709220,135462322,5479933,59896945,0,333213337,91557571,0,72029636,169626130,333213337,22962725,327141071,-261800586,331967499,118280764,472064904,336602582,0,0,74098903,74098903,2069267,0,2253905,1722,657,3584306,329108,3913414,522,0,211703,729980,929582,33642,209233,654918,412930,79913,198271,124134,1117865,225925,809317,289461,654115,171046,274138,42439,1261889,240258,861147,348019,694424,182233,282852,42592,2008
106370652,alvarado hospital,01jan2008,31dec2008,366,audited,incl. ind. audit adj.,san diego,14,1418,investor,general,comparable,,(619) 287-3270,6655 alvarado road,san diego,92120,harris f. koenig,ceo,www.alvaradohospital.com,"plymouth health, llc",brian d. kleven,"alvarado hospital, llc",0,05-0757,hsc30583h,hsp30583h,306,306,133,20725,1951,6614,393,931,0,14692,78,2935,48319,4069,512,1093,121,173,0,2564,17,529,9078,256,0,0,50,0,0,42488,0,0,5831,0,0,8651,0,0,427,0,0,43.1,43.1,5.3,5.3,0,0,0,19720,1386,4659,2278,801,0,12423,22,9859,51148,23982,2737,0,25443,0,13,640472,537930,2635,3548,0,0,729434745,571401656,165022,158198111,6144462,155743764,8598809,-34173,0,0,0,8564636,116573968,32578275,580282502,273206939,28607996,76257559,5297274,10619748,0,133709552,670632,28090115,556459815,55556700,6756817,11387806,4109781,2316366,0,56259991,119084,36468385,172974930,267904014,29370710,81304492,8458407,0,10998311,0,119134346,11491657,0,789716,0,41950003,295394,0,0,-130372,60859625,6289497,6340873,948648,1937803,0,70704825,0,11116840,0,0,0,-34173,0,0,29144377,9588428,55624082,0,0,359403,0,18149811,4264882,26398589,12214192,59005292,19087302,1767499,10447271,31842479,12188804,861687,12139549,587117,0,7816764,26137186,0,7201720,168135,0,205617,33712658,19378292,0,15417713,-1083347,33712658,241957,47855655,-27924163,353199,8013683,8702147,1500427,0,0,0,15417713,0,0,15417713,836,353,1637423,194046,1831469,476,0,120404,506132,526825,23647,106368,237301,0,28993,79983,7770,564354,127145,470780,0,180197,102510,192437,0,633042,140543,533037,0,197158,114521,213168,0,2008
106370749,alvarado parkway institute bhs,01jan2008,31dec2008,366,audited,excl. ind. audit adj.,san diego,14,1422,investor,psychiatric,comparable,,(619) 465-4411,7050 parkway drive,la mesa,92042,patrick ziemer,ceo,www.alvaradoparkwayinstitute.com,helix healthcare,john randolph smith,pacific hospital management,0,05-4075,,hsp34075g,66,66,66,13675,424,371,0,0,1329,2828,0,3549,22176,1143,35,24,0,0,136,289,0,636,2263,0,66,0,0,0,0,0,22176,0,0,0,0,0,2263,0,0,0,0,91.8,91.8,9.800000000000001,9.800000000000001,0,0,0,54103,555,11,0,0,881,6703,0,617,62870,0,0,0,0,0,0,0,0,0,0,0,0,45575142,23253687,0,22321455,80116,20836056,1565515,125786,205372,0,0,1485929,22051300,20213400,3310442,14816135,474985,409300,0,0,1450908,3086342,0,5018023,25255693,18011037,181168,3769,0,0,277229,1674768,0,171478,20319449,17799858,355786,287376,0,0,0,950515,2618722,1086641,0,154789,0,0,0,0,0,0,15027314,300367,125693,0,0,602593,2010797,0,4254691,0,0,0,0,0,0,5254104,4373417,627842,0,0,0,0,4481066,1295577,3198869,1605181,11581380,2206321,682250,86302,1344151,1637847,269913,1460224,156261,177966,1233441,3659978,0,1215564,0,0,977709,5853251,6269325,0,0,-416074,5853251,2532,5474944,-2330851,1612701,968398,2705669,1490105,0,0,0,0,0,0,1376373,247,86,514207,2350,516557,82,0,32214,172303,42308,31014,104123,62907,67646,0,1692,0,185362,123180,0,0,113579,41716,50370,0,186210,123858,0,0,113968,41911,50610,0,2008
106194010,american recovery center,01jul2007,30jun2008,366,audited,excl. ind. audit adj.,los angeles,11,917,non-profit,specialty,comparable,,(909) 865-2336,2180 west valley blvd,pomona,91768,booker bledsoe,administrator,,"behavioral health services, inc",andrew e. worrell,behavioral health services,0,,,,156,156,156,0,0,0,0,34434,0,0,0,1596,36030,0,0,0,0,1672,0,0,0,21,1693,0,0,156,0,0,0,0,0,36030,0,0,0,0,0,1693,0,0,0,63.1,63.1,21.3,21.3,0,0,0,0,0,0,0,6997,0,0,0,149,7146,0,0,0,0,0,0,0,0,0,0,0,0,5966860,46237,0,5920623,48265,5579240,389648,0,0,0,0,389648,5618711,348149,0,0,0,0,0,5103363,0,0,0,515348,5618711,0,0,0,0,334739,0,0,0,13410,348149,0,0,0,0,0,46237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5391865,0,0,0,528758,0,0,0,0,0,0,2098875,268846,0,0,0,0,0,1434763,308380,1036501,431875,2447579,771517,0,318361,478566,870788,85329,27105,41621,222847,315527,3616654,0,2608354,0,2076,0,6227084,4656061,0,0,1571023,6227084,1327923,453548,0,2741153,332290,4160186,1551832,0,0,0,0,0,1017254,0,75,13,131419,24802,156221,0,0,18497,5368,6558,20178,0,20424,19100,41294,0,0,69229,10813,0,0,28829,13636,8912,0,78220,19804,0,0,32684,15411,10102,0,2008
